"jiaotongyunshu","xiuxianfuwu","meiti","gonggongshiye","nonglinmuyu","huagong","yiyaoshengwu","shangyemaoyi","guofangjungong","jiayongdianqi","jianzhucailiao","jianzhuzhuangshi","fangdichan","yousejinshu","jixiezhizao","qiche","dianzi","dianqishebei","fangzhifuzhuang","zonghe","jisuanji","qingongzhizao","tongxin","caijue","gangtie","yinhang","feiyinjinrong","shipinyinliao"
"2004-11-01",0.0310072202094673,-0.03821129563421,-0.0341440046616377,-0.00103824898067639,-0.0467013862452026,-0.0296213626827058,-0.0158485096813958,-0.0135460042392559,-0.0677543042554456,-0.00680866291033855,-0.0192304391760567,-0.0562318076144326,-0.0381469203105649,-0.0144860634211783,-0.0270751038790911,-0.0686273058799358,-0.0179033243883602,0.0212099288737688,-0.0430105244581727,-0.0575632096202527,-0.0206240274490863,-0.0153016501737353,0.0166880572399144,0.0258092563466361,-0.0543917194298364,-0.0891254080610731,0.0321303419982781,0.0307576838293002
"2004-11-08",0.0099608029756153,0.00593890840233779,-0.0843152484533984,0.00699486279499695,-0.00409527877398741,-0.00113781065020824,0.00138705021922725,-0.00331584643590421,0.00148663542380056,-0.00076145199567268,-0.0119987208875205,-0.00398587356218894,-0.0378454000688011,-0.0335785665859758,-0.0160056907350734,-0.0177571431359596,-0.0112364398603919,-0.0235421106546285,-0.00262324600988606,-0.00358122576809006,-0.0155835149304124,0.0128521522220133,-0.0417740266541449,-0.0381481330590594,-0.0113278990526444,0.036598913412095,-0.0189202878802135,-0.0178499528637861
"2004-11-15",0.00734463793564455,-0.00603965899433234,0.0314619225488366,0.00354902774356702,0.00374821722492324,-0.00521797031294735,-5.04044960916161e-05,-0.00616407831301924,0.011990338860242,-0.0073283624788365,0.00239955062369646,0.0101327505384647,0.00142445241453082,0.000328750399222422,-0.0160947908097633,-0.023004557665633,-0.00107675146638453,0.000242908424718635,-0.000576756720784388,-0.00347234627857063,0.0196565705472551,-0.00596577818678856,-0.00412349046209481,-0.0179986747384202,-0.00988921584850022,-0.00425333394304328,0.0413414441823745,-0.0101445535772706
"2004-11-22",0.0431501517908544,0.0477941063157292,0.0689900622180497,0.0506583940136345,0.0481884891063276,0.0461240987762244,0.0575629782842526,0.046155265929662,0.0441045297068614,0.0495643390192653,0.0535094722135314,0.0491614905875846,0.0458375877487631,0.0699057610097613,0.0617546720842412,0.0750957181479848,0.0786855219161042,0.0515806598218953,0.0447404611386535,0.0667665496034058,0.0822163566015224,0.0568960648220758,0.061094425592902,0.0514141742215628,0.0338911528278745,0.0194108067230401,0.0298284616838327,0.0429451218670174
"2004-11-29",-0.00210324825222408,0.0254750830677386,0.0206305242309908,0.00403314156166701,0.0202295377946644,0.0159829947209662,0.0204536929728061,0.0317718547711809,0.0502871704370254,0.00962474749433895,0.00770364327459738,0.0119556197324346,0.0256985734594668,0.0095977031361949,0.0280568392603406,0.00418598139356607,0.0227758709081272,0.0241442334371715,0.00777900427078126,0.033750784361966,0.0231078067762684,0.0202345867906111,0.00904189782985121,0.0184071131166048,0.00621306738597038,0.0147562177975349,0.0510149250082508,-0.00173150904981867
"2004-12-06",-0.0276394901243275,-0.0248029351699017,-0.0653916100390255,-0.0344105917095385,-0.0405391391193763,-0.0313691237803662,-0.0342171089534524,-0.0599164379961445,-0.050680506210365,-0.0401137011396377,-0.0287310104666734,-0.022325713609618,-0.0303162359226761,-0.0360633116864939,-0.0319683711544325,-0.0439820757527594,-0.0265354339228123,-0.0343584584507042,-0.0344780663959208,-0.0256171015810356,-0.0811314097086182,-0.0254184505653763,-0.0205096145274126,-0.0394098647308994,-0.00781553394595136,-0.0347267229565071,-0.0509216341740073,-0.0293494637530918
"2004-12-13",-0.0133746724201194,0.00770930902874678,0.075930730717344,-0.0147476554627497,0.0393498212151053,0.00290233076034774,0.0119415856689935,0.0197069300215382,0.0328387716470049,0.0144018531522487,0.01101861691805,0.0132572820721215,0.0246392408293579,0.0110662639233494,0.0119684950094054,0.0190171701621171,0.0298891732824638,0.00522963093131956,0.0147608306804017,0.0234914680112945,0.042455445686862,0.0112467545990116,0.00552873927400821,-0.0473836524321083,-0.000633070773993438,-0.0135943738136506,0.0102400003810512,0.00135141143346473
"2004-12-20",-0.0132988134023515,-0.0385484621441075,-0.0571472013052317,-0.0333914269201303,-0.0585116306422977,-0.0296157124593677,-0.0440152168644445,-0.0476674429224175,-0.0503577161706366,-0.0382423683592474,-0.0404337741739988,-0.0417685235285026,-0.0452466478117897,-0.0315403767456424,-0.0398277322291243,-0.0144143059043991,-0.0658289126366718,-0.0220979726694308,-0.0390782933008049,-0.061915983771387,-0.0615718789979773,-0.0385589608911925,-0.0338291917836138,-0.0215164481301517,0.0294132594440359,-0.000116848756110954,-0.0794016902287336,-0.0286109137394854
"2004-12-27",-0.024994792466849,-0.0452986425161548,-0.0384298739348594,-0.0215854000748115,-0.0155866327264302,-0.0291328183003952,-0.0280897478197248,-0.0296499522289118,-0.00263444399544444,-0.0356233776515209,-0.0363867879283939,-0.013249732786984,-0.0255583940155253,-0.0410304356206224,-0.0419998101550814,-0.0604671423123611,-0.0534237027669118,-0.0346696031360931,-0.0331580056385183,-0.0438947310239506,-0.0598019429490853,-0.0349480143267238,-0.0137794649864027,-0.0214976033664041,-0.0236512917579637,-0.00828085729686912,-0.0100806292450004,-0.0339569367878232
"2004-12-31",0.0142118254840549,0.0194768473735039,0.0743865766764067,-0.0111873204576689,-0.00126293308669734,0.000134106682066815,0.0024819305262751,0.0123721990740373,-0.0121738125413913,-0.00384634632448577,-0.00602570347643017,0.0078993606576887,0.0118457316235032,0.00617263843363425,0.00173160216427792,0.00146249112010644,0.0154092367859464,0.0039588387429097,0.00616891979739975,0.0128306209044116,0.0267945431381955,0.001031193697977,0.0125382846265856,-0.00448413074602971,0.0189796134022071,-0.028270433938256,-0.01059141954065,0.00202486413128344
"2005-01-10",0.000234741785114956,-0.0235637548661405,-0.0419486235028765,-0.00778122921884616,-0.04625619453184,-0.0227403250804041,-0.010055240396257,-0.0151236270526782,-0.0328672237015297,-0.0767372746285027,-0.0287777762404842,-0.025188971517248,-0.0151008884916397,-0.0281063898513692,-0.0358871752239489,-0.0350828439553039,-0.038165985277594,-0.00968669320326132,-0.0302892407207267,-0.0354237446433769,-0.0223365470742385,-0.0165262004262505,0.00624421681925114,0.0021027515920542,-0.0160646593491629,-0.00289581350109636,-0.0146668382032846,-0.000541131919988835
